,ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand_High,PriceBand_Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
0,BSEFO,824336,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100824336,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-14T00:00:00,SENSEX 14JAN25FEB SPD,1,1,SENSEX25JAN25FEBFUT
1,BSEFO,820152,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100820152,3906.95,-2344.15,500,0.05,10,1,-1,,2025-01-03T00:00:00,SENSEX 03JAN28JAN SPD,1,1,SENSEX25JAN25JANFUT
2,BSEFO,842136,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100842136,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-14T00:00:00,SENSEX 14JAN11FEB SPD,1,1,SENSEX25JAN25FEBFUT
3,BSEFO,839989,4,SENSEX,SENSEX25FEB25FEBFUT,IF,SENSEX-IF,12100100839989,3906.95,-2344.15,500,0.05,20,1,-1,,2025-02-04T00:00:00,SENSEX 04FEB25FEB SPD,1,1,SENSEX25FEB25FEBFUT
4,BSEFO,842140,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100842140,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-21T00:00:00,SENSEX 21JAN11FEB SPD,1,1,SENSEX25JAN25FEBFUT
5,BSEFO,841724,4,SENSEX50,SENSEX5025JAN25MARFUT,IF,SENSEX50-IF,12100100841724,1243.1,-745.85,1800,0.05,25,1,-1,,2025-01-28T00:00:00,SENSEX50 28JAN25MAR SPD,1,1,SENSEX5025JAN25MARFUT
6,BSEFO,825746,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100825746,3906.95,-2344.15,500,0.05,20,1,-1,,2025-01-21T00:00:00,SENSEX 21JAN25FEB SPD,1,1,SENSEX25JAN25FEBFUT
7,BSEFO,823344,4,BANKEX,BANKEX25JAN25FEBFUT,IF,BANKEX-IF,12100100823344,2887.05,-1732.25,600,0.05,15,1,-1,,2025-01-28T00:00:00,BANKEX 28JAN25FEB SPD,1,1,BANKEX25JAN25FEBFUT
8,BSEFO,839992,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100839992,3906.95,-2344.15,500,0.05,10,1,-1,,2025-01-28T00:00:00,SENSEX 28JAN04FEB SPD,1,1,SENSEX25JAN25FEBFUT
9,BSEFO,842143,4,SENSEX,SENSEX25FEB25MARFUT,IF,SENSEX-IF,12100100842143,3906.95,-2344.15,500,0.05,20,1,-1,,2025-02-11T00:00:00,SENSEX 11FEB25MAR SPD,1,1,SENSEX25FEB25MARFUT
10,BSEFO,842142,4,SENSEX,SENSEX25JAN25MARFUT,IF,SENSEX-IF,12100100842142,3906.95,-2344.15,500,0.05,10,1,-1,,2025-01-03T00:00:00,SENSEX 03JAN25MAR SPD,1,1,SENSEX25JAN25MARFUT
11,BSEFO,842135,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100842135,3906.95,-2344.15,500,0.05,10,1,-1,,2025-01-03T00:00:00,SENSEX 03JAN11FEB SPD,1,1,SENSEX25JAN25FEBFUT
12,BSEFO,824333,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100824333,3906.95,-2344.15,500,0.05,10,1,-1,,2025-01-03T00:00:00,SENSEX 03JAN25FEB SPD,1,1,SENSEX25JAN25FEBFUT
13,BSEFO,824340,4,SENSEX,SENSEX25JAN25JANFUT,IF,SENSEX-IF,12100100824340,3906.95,-2344.15,500,0.05,10,1,-1,,2025-01-03T00:00:00,SENSEX 03JAN14JAN SPD,1,1,SENSEX25JAN25JANFUT
14,BSEFO,824337,4,SENSEX,SENSEX25JAN25FEBFUT,IF,SENSEX-IF,12100100824337,3906.95,-2344.15,500,0.05,10,1,-1,,2025-01-28T00:00:00,SENSEX 28JAN25FEB SPD,1,1,SENSEX25JAN25FEBFUT
15,BSEFO,823939,4,SENSEX50,SENSEX5025JAN25FEBFUT,IF,SENSEX50-IF,12100100823939,1243.1,-745.85,1800,0.05,25,1,-1,,2025-01-28T00:00:00,SENSEX50 28JAN25FEB SPD,1,1,SENSEX5025JAN25FEBFUT
