,ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand_High,PriceBand_Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
201,NSEFO,36398,1,GAIL,GAIL25MARFUT,FUTSTK,GAIL-FUTSTK,2508600036398,214.09,175.17,117501,0.01,2350,1,1100100004717,GAIL,2025-03-27T14:30:00,GAIL 27MAR2025,1,1,GAIL25MARFUT
202,NSEFO,35015,1,ABB,ABB25FEBFUT,FUTSTK,ABB-FUTSTK,2505800035015,7689.25,6291.2,3751,0.05,125,1,1100100000013,ABB,2025-02-27T14:30:00,ABB 27FEB2025,1,1,ABB25FEBFUT
203,NSEFO,43121,1,LTF,LTF25MARFUT,FUTSTK,LTF-FUTSTK,2508600043121,147.24,120.47,178481,0.01,4462,1,1100100024948,LTF,2025-03-27T14:30:00,LTF 27MAR2025,1,1,LTF25MARFUT
204,NSEFO,41587,1,YESBANK,YESBANK25FEBFUT,FUTSTK,YESBANK-FUTSTK,2505800041587,21.85,17.87,1040001,0.01,26000,1,1100100011915,YESBANK,2025-02-27T14:30:00,YESBANK 27FEB2025,1,1,YESBANK25FEBFUT
205,NSEFO,43349,1,SBICARD,SBICARD25MARFUT,FUTSTK,SBICARD-FUTSTK,2508600043349,737.35,603.3,32001,0.05,800,1,1100100017971,SBICARD,2025-03-27T14:30:00,SBICARD 27MAR2025,1,1,SBICARD25MARFUT
206,NSEFO,39170,1,KEI,KEI25FEBFUT,FUTSTK,KEI-FUTSTK,2505800039170,4935.15,4037.85,6001,0.05,150,1,1100100013310,KEI,2025-02-27T14:30:00,KEI 27FEB2025,1,1,KEI25FEBFUT
207,NSEFO,38583,1,HAL,HAL25FEBFUT,FUTSTK,HAL-FUTSTK,2505800038583,4649.9,3804.45,6001,0.05,150,1,1100100002303,HAL,2025-02-27T14:30:00,HAL 27FEB2025,1,1,HAL25FEBFUT
208,NSEFO,38571,1,GODREJPROP,GODREJPROP25FEBFUT,FUTSTK,GODREJPROP-FUTSTK,2505800038571,3098.65,2535.3,9001,0.05,225,1,1100100017875,GODREJPROP,2025-02-27T14:30:00,GODREJPROP 27FEB2025,1,1,GODREJPROP25FEBFUT
209,NSEFO,35824,1,CANFINHOME,CANFINHOME25FEBFUT,FUTSTK,CANFINHOME-FUTSTK,2505800035824,842.25,689.1,29251,0.05,975,1,1100100000583,CANFINHOME,2025-02-27T14:30:00,CANFINHOME 27FEB2025,1,1,CANFINHOME25FEBFUT
210,NSEFO,37262,1,BERGEPAINT,BERGEPAINT25JANFUT,FUTSTK,BERGEPAINT-FUTSTK,2503000037262,496,405.85,52801,0.05,1320,1,1100100000404,BERGEPAINT,2025-01-30T14:30:00,BERGEPAINT 30JAN2025,1,1,BERGEPAINT25JANFUT
211,NSEFO,35455,1,BOSCHLTD,BOSCHLTD25FEBFUT,FUTSTK,BOSCHLTD-FUTSTK,2505800035455,37695.5,30841.75,751,0.05,25,1,1100100002181,BOSCHLTD,2025-02-27T14:30:00,BOSCHLTD 27FEB2025,1,1,BOSCHLTD25FEBFUT
212,NSEFO,36713,1,091NSETEST,091NSETEST36DECFUT,FUTSTK,091NSETEST-FUTSTK,2633200036713,220,180,100001,0.05,50,1,1100100014769,091NSETEST,2036-11-27T14:30:00,091NSETEST 27NOV2036,1,1,091NSETEST36DECFUT
213,NSEFO,35404,1,BSOFT,BSOFT25MARFUT,FUTSTK,BSOFT-FUTSTK,2508600035404,626.3,512.45,40001,0.05,1000,1,1100100006994,BSOFT,2025-03-27T14:30:00,BSOFT 27MAR2025,1,1,BSOFT25MARFUT
214,NSEFO,41284,1,RAMCOCEM,RAMCOCEM25FEBFUT,FUTSTK,RAMCOCEM-FUTSTK,2505800041284,1075.15,879.7,25501,0.05,850,1,1100100002043,RAMCOCEM,2025-02-27T14:30:00,RAMCOCEM 27FEB2025,1,1,RAMCOCEM25FEBFUT
215,NSEFO,35025,1,ABFRL,ABFRL25MARFUT,FUTSTK,ABFRL-FUTSTK,2508600035025,314.15,257,78001,0.05,2600,1,1100100030108,ABFRL,2025-03-27T14:30:00,ABFRL 27MAR2025,1,1,ABFRL25MARFUT
216,NSEFO,40837,1,DEEPAKNTR,DEEPAKNTR25JANFUT,FUTSTK,DEEPAKNTR-FUTSTK,2503000040837,2762.75,2260.4,9001,0.05,300,1,1100100019943,DEEPAKNTR,2025-01-30T14:30:00,DEEPAKNTR 30JAN2025,1,1,DEEPAKNTR25JANFUT
217,NSEFO,38736,1,HFCL,HFCL25FEBFUT,FUTSTK,HFCL-FUTSTK,2505800038736,125.38,102.58,207501,0.01,4150,1,1100100021951,HFCL,2025-02-27T14:30:00,HFCL 27FEB2025,1,1,HFCL25FEBFUT
218,NSEFO,35401,1,BRITANNIA,BRITANNIA25MARFUT,FUTSTK,BRITANNIA-FUTSTK,2508600035401,5339.65,4368.8,5001,0.05,100,1,1100100000547,BRITANNIA,2025-03-27T14:30:00,BRITANNIA 27MAR2025,1,1,BRITANNIA25MARFUT
219,NSEFO,39122,1,JSWSTEEL,JSWSTEEL25FEBFUT,FUTSTK,JSWSTEEL-FUTSTK,2505800039122,1004.2,821.65,27001,0.05,675,1,1100100011723,JSWSTEEL,2025-02-27T14:30:00,JSWSTEEL 27FEB2025,1,1,JSWSTEEL25FEBFUT
220,NSEFO,35547,1,BSE,BSE25JANFUT,FUTSTK,BSE-FUTSTK,2503000035547,5883.15,4813.5,5001,0.05,125,1,1100100019585,BSE,2025-01-30T14:30:00,BSE 30JAN2025,1,1,BSE25JANFUT
221,NSEFO,41090,1,IRCTC,IRCTC25JANFUT,FUTSTK,IRCTC-FUTSTK,2503000041090,871.95,713.4,26251,0.05,875,1,1100100013611,IRCTC,2025-01-30T14:30:00,IRCTC 30JAN2025,1,1,IRCTC25JANFUT
222,NSEFO,35175,1,ATGL,ATGL25JANFUT,FUTSTK,ATGL-FUTSTK,2503000035175,797.8,652.75,31001,0.05,775,1,1100100006066,ATGL,2025-01-30T14:30:00,ATGL 30JAN2025,1,1,ATGL25JANFUT
223,NSEFO,39195,1,MANAPPURAM,MANAPPURAM25FEBFUT,FUTSTK,MANAPPURAM-FUTSTK,2505800039195,208.9,170.92,120001,0.01,3000,1,1100100019061,MANAPPURAM,2025-02-27T14:30:00,MANAPPURAM 27FEB2025,1,1,MANAPPURAM25FEBFUT
224,NSEFO,40478,1,IOC,IOC25MARFUT,FUTSTK,IOC-FUTSTK,2508600040478,152.45,124.73,195001,0.01,4875,1,1100100001624,IOC,2025-03-27T14:30:00,IOC 27MAR2025,1,1,IOC25MARFUT
225,NSEFO,39208,1,METROPOLIS,METROPOLIS25FEBFUT,FUTSTK,METROPOLIS-FUTSTK,2505800039208,2308.9,1889.1,12001,0.05,400,1,1100100009581,METROPOLIS,2025-02-27T14:30:00,METROPOLIS 27FEB2025,1,1,METROPOLIS25FEBFUT
226,NSEFO,40876,1,PIDILITIND,PIDILITIND25FEBFUT,FUTSTK,PIDILITIND-FUTSTK,2505800040876,3229.75,2642.5,7501,0.05,250,1,1100100002664,PIDILITIND,2025-02-27T14:30:00,PIDILITIND 27FEB2025,1,1,PIDILITIND25FEBFUT
227,NSEFO,35042,1,AARTIIND,AARTIIND25JANFUT,FUTSTK,AARTIIND-FUTSTK,2503000035042,454.65,372,50001,0.05,1000,1,1100100000007,AARTIIND,2025-01-30T14:30:00,AARTIIND 30JAN2025,1,1,AARTIIND25JANFUT
228,NSEFO,35274,1,BAJAJFINSV,BAJAJFINSV25MARFUT,FUTSTK,BAJAJFINSV-FUTSTK,2508600035274,1752.6,1433.95,15001,0.05,500,1,1100100016675,BAJAJFINSV,2025-03-27T14:30:00,BAJAJFINSV 27MAR2025,1,1,BAJAJFINSV25MARFUT
229,NSEFO,35564,1,COLPAL,COLPAL25MARFUT,FUTSTK,COLPAL-FUTSTK,2508600035564,2996,2451.25,8751,0.05,175,1,1100100015141,COLPAL,2025-03-27T14:30:00,COLPAL 27MAR2025,1,1,COLPAL25MARFUT
230,NSEFO,43195,1,MPHASIS,MPHASIS25MARFUT,FUTSTK,MPHASIS-FUTSTK,2508600043195,3197.15,2615.85,8251,0.05,275,1,1100100004503,MPHASIS,2025-03-27T14:30:00,MPHASIS 27MAR2025,1,1,MPHASIS25MARFUT
231,NSEFO,39109,1,JSWENERGY,JSWENERGY25JANFUT,FUTSTK,JSWENERGY-FUTSTK,2503000039109,710.15,581,37501,0.05,750,1,1100100017869,JSWENERGY,2025-01-30T14:30:00,JSWENERGY 30JAN2025,1,1,JSWENERGY25JANFUT
232,NSEFO,40978,1,POONAWALLA,POONAWALLA25FEBFUT,FUTSTK,POONAWALLA-FUTSTK,2505800040978,340.75,278.8,72501,0.05,1450,1,1100100011403,POONAWALLA,2025-02-27T14:30:00,POONAWALLA 27FEB2025,1,1,POONAWALLA25FEBFUT
233,NSEFO,38877,1,ICICIGI,ICICIGI25FEBFUT,FUTSTK,ICICIGI-FUTSTK,2505800038877,1988.25,1626.75,12501,0.05,250,1,1100100021770,ICICIGI,2025-02-27T14:30:00,ICICIGI 27FEB2025,1,1,ICICIGI25FEBFUT
234,NSEFO,41165,1,LTTS,LTTS25JANFUT,FUTSTK,LTTS-FUTSTK,2503000041165,5243.65,4290.3,5001,0.05,100,1,1100100018564,LTTS,2025-01-30T14:30:00,LTTS 30JAN2025,1,1,LTTS25JANFUT
235,NSEFO,35076,1,ADANIPORTS,ADANIPORTS25FEBFUT,FUTSTK,ADANIPORTS-FUTSTK,2505800035076,1366.55,1118.1,16001,0.05,400,1,1100100015083,ADANIPORTS,2025-02-27T14:30:00,ADANIPORTS 27FEB2025,1,1,ADANIPORTS25FEBFUT
236,NSEFO,39193,1,M&M,M&M25FEBFUT,FUTSTK,M&M-FUTSTK,2505800039193,3352.9,2743.25,8751,0.05,175,1,1100100002031,M&M,2025-02-27T14:30:00,M&M 27FEB2025,1,1,M&M25FEBFUT
237,NSEFO,41366,1,SUPREMEIND,SUPREMEIND25FEBFUT,FUTSTK,SUPREMEIND-FUTSTK,2505800041366,5233.7,4282.15,5001,0.05,125,1,1100100003363,SUPREMEIND,2025-02-27T14:30:00,SUPREMEIND 27FEB2025,1,1,SUPREMEIND25FEBFUT
